Energy Coherent Incoherent Photoelectric NuclearPairProd ElectronPairProd TotWCoherent TotWoCoherent
1.000E-03|1.017E+00|1.585E-02|2.022E+03|0.000E+00|0.000E+00|2.023E+03|2.022E+03|
1.500E-03|9.023E-01|3.134E-02|6.399E+02|0.000E+00|0.000E+00|6.409E+02|6.400E+02|
2.000E-03|7.820E-01|4.795E-02|2.760E+02|0.000E+00|0.000E+00|2.768E+02|2.761E+02|
3.000E-03|5.745E-01|7.809E-02|8.202E+01|0.000E+00|0.000E+00|8.267E+01|8.209E+01|
4.000E-03|4.306E-01|1.011E-01|3.407E+01|0.000E+00|0.000E+00|3.460E+01|3.417E+01|
5.000E-03|3.357E-01|1.174E-01|1.707E+01|0.000E+00|0.000E+00|1.752E+01|1.719E+01|
6.000E-03|2.720E-01|1.290E-01|9.646E+00|0.000E+00|0.000E+00|1.005E+01|9.775E+00|
8.000E-03|1.949E-01|1.443E-01|3.880E+00|0.000E+00|0.000E+00|4.219E+00|4.024E+00|
1.000E-02|1.503E-01|1.542E-01|1.899E+00|0.000E+00|0.000E+00|2.203E+00|2.053E+00|
1.500E-02|9.051E-02|1.692E-01|5.110E-01|0.000E+00|0.000E+00|7.707E-01|6.802E-01|
2.000E-02|5.982E-02|1.769E-01|1.991E-01|0.000E+00|0.000E+00|4.358E-01|3.760E-01|
3.000E-02|3.104E-02|1.815E-01|5.220E-02|0.000E+00|0.000E+00|2.648E-01|2.337E-01|
4.000E-02|1.885E-02|1.805E-01|2.006E-02|0.000E+00|0.000E+00|2.194E-01|2.006E-01|
5.000E-02|1.263E-02|1.776E-01|9.536E-03|0.000E+00|0.000E+00|1.997E-01|1.871E-01|
6.000E-02|9.036E-03|1.740E-01|5.187E-03|0.000E+00|0.000E+00|1.882E-01|1.791E-01|
8.000E-02|5.260E-03|1.664E-01|1.985E-03|0.000E+00|0.000E+00|1.736E-01|1.684E-01|
1.000E-01|3.426E-03|1.592E-01|9.435E-04|0.000E+00|0.000E+00|1.636E-01|1.601E-01|
1.500E-01|1.551E-03|1.440E-01|2.475E-04|0.000E+00|0.000E+00|1.458E-01|1.442E-01|
2.000E-01|8.786E-04|1.322E-01|9.728E-05|0.000E+00|0.000E+00|1.332E-01|1.323E-01|
3.000E-01|3.926E-04|1.151E-01|2.726E-05|0.000E+00|0.000E+00|1.156E-01|1.152E-01|
4.000E-01|2.212E-04|1.032E-01|1.163E-05|0.000E+00|0.000E+00|1.035E-01|1.032E-01|
5.000E-01|1.417E-04|9.431E-02|6.256E-06|0.000E+00|0.000E+00|9.446E-02|9.432E-02|
6.000E-01|9.848E-05|8.725E-02|3.890E-06|0.000E+00|0.000E+00|8.735E-02|8.725E-02|
8.000E-01|5.540E-05|7.665E-02|1.962E-06|0.000E+00|0.000E+00|7.670E-02|7.665E-02|
1.000E+00|3.547E-05|6.893E-02|1.220E-06|0.000E+00|0.000E+00|6.896E-02|6.893E-02|
